Corpus,Topic 1 Share,Topic 2 Share,Topic 3 Share,Topic 4 Share,Topic 5 Share
Tolkien (Root),0.12472431702933054,0.23891404033437671,0.22869936384223538,0.1875686523257053,0.22009362646835204
Successors (80s/90s),0.09600294250567432,0.36260385120270067,0.11080314809018961,0.11690036876168296,0.31368968943975256
Modern (Deconstruction),0.12320484095321911,0.3141131425081322,0.04456541946128681,0.2436681722789054,0.2744484247984565
