Corpus,Book,Raw Log-Likelihood,Quest Adherence Score
Successors (80s/90s),TheEyeofTheWorld.txt,65.23,2.04
Successors (80s/90s),TheSwordofShannara.txt,3.25,0.11
Tolkien (Root),TheTwoTowers.txt,61.3,3.61
Modern (Deconstruction),TheWayofKings.txt,40.54,0.99
Modern (Deconstruction),AGameofThrones.txt,52.93,1.56
Tolkien (Root),FellowshipofTheRing.txt,47.25,2.36
Tolkien (Root),TheReturnofTheKing.txt,48.64,2.56
Modern (Deconstruction),Assassin'sApprentice.txt,5.61,0.33
