Corpus,Lexical Diffusion Score,Thematic Divergence (Perplexity)
Tolkien (Root),12559.333333333334,1166.3242572570207
Successors (80s/90s),10139.5,2443.7574536087327
Modern (Deconstruction),8834.666666666666,2136.2402726390055
